,2020-09-01,2020-10-01,2020-11-01
Autauga_Alabama_UnitedStates.NYT_ConfirmedCases.data,1791.0,2082.0,0.0
Autauga_Alabama_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baldwin_Alabama_UnitedStates.NYT_ConfirmedCases.data,5640.0,6940.0,0.0
Baldwin_Alabama_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baker_Georgia_UnitedStates.NYT_ConfirmedCases.data,84.0,106.0,0.0
Baker_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Avoyelles_Louisiana_UnitedStates.NYT_ConfirmedCases.data,1529.0,1757.0,0.0
Avoyelles_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baca_Colorado_UnitedStates.NYT_ConfirmedCases.data,18.0,36.0,0.0
Baca_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bacon_Georgia_UnitedStates.NYT_ConfirmedCases.data,599.0,708.0,0.0
Bacon_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baker_Florida_UnitedStates.NYT_ConfirmedCases.data,1484.0,1783.0,0.0
Baker_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
BaltimoreCity_Maryland_UnitedStates.NYT_ConfirmedCases.data,15646.0,17096.0,0.0
BaltimoreCity_Maryland_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Banner_Nebraska_UnitedStates.NYT_ConfirmedCases.data,2.0,4.0,0.0
Banner_Nebraska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baltimore_Maryland_UnitedStates.NYT_ConfirmedCases.data,18017.0,20442.0,0.0
Baltimore_Maryland_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bandera_Texas_UnitedStates.NYT_ConfirmedCases.data,160.0,184.0,0.0
Bandera_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baldwin_Georgia_UnitedStates.NYT_ConfirmedCases.data,2134.0,2400.0,0.0
Baldwin_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Ballard_Kentucky_UnitedStates.NYT_ConfirmedCases.data,57.0,72.0,0.0
Ballard_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Banks_Georgia_UnitedStates.NYT_ConfirmedCases.data,488.0,570.0,0.0
Banks_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bannock_Idaho_UnitedStates.NYT_ConfirmedCases.data,1229.0,2628.0,0.0
Bannock_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bamberg_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,650.0,697.0,0.0
Bamberg_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baraga_Michigan_UnitedStates.NYT_ConfirmedCases.data,37.0,115.0,0.0
Baraga_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barnstable_Massachusetts_UnitedStates.NYT_ConfirmedCases.data,1863.0,1933.0,0.0
Barnstable_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barber_Kansas_UnitedStates.NYT_ConfirmedCases.data,9.0,74.0,0.0
Barber_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barbour_WestVirginia_UnitedStates.NYT_ConfirmedCases.data,81.0,187.0,0.0
Barbour_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barnwell_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,741.0,872.0,0.0
Barnwell_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barry_Michigan_UnitedStates.NYT_ConfirmedCases.data,326.0,552.0,0.0
Barry_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barren_Kentucky_UnitedStates.NYT_ConfirmedCases.data,796.0,1326.0,0.0
Barren_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barrow_Georgia_UnitedStates.NYT_ConfirmedCases.data,2219.0,2770.0,0.0
Barrow_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barnes_NorthDakota_UnitedStates.NYT_ConfirmedCases.data,242.0,404.0,0.0
Barnes_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barron_Wisconsin_UnitedStates.NYT_ConfirmedCases.data,512.0,1125.0,0.0
Barron_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barbour_Alabama_UnitedStates.NYT_ConfirmedCases.data,896.0,1056.0,0.0
Barbour_Alabama_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barton_Kansas_UnitedStates.NYT_ConfirmedCases.data,507.0,751.0,0.0
Barton_Kansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bath_Virginia_UnitedStates.NYT_ConfirmedCases.data,15.0,26.0,0.0
Bath_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barry_Missouri_UnitedStates.NYT_ConfirmedCases.data,502.0,898.0,0.0
Barry_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bath_Kentucky_UnitedStates.NYT_ConfirmedCases.data,90.0,122.0,0.0
Bath_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baxter_Arkansas_UnitedStates.NYT_ConfirmedCases.data,366.0,677.0,0.0
Baxter_Arkansas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bates_Missouri_UnitedStates.NYT_ConfirmedCases.data,126.0,255.0,0.0
Bates_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bartow_Georgia_UnitedStates.NYT_ConfirmedCases.data,2938.0,3896.0,0.0
Bartow_Georgia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Barton_Missouri_UnitedStates.NYT_ConfirmedCases.data,204.0,449.0,0.0
Barton_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bastrop_Texas_UnitedStates.NYT_ConfirmedCases.data,1850.0,1998.0,0.0
Bastrop_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bartholomew_Indiana_UnitedStates.NYT_ConfirmedCases.data,1218.0,1448.0,0.0
Bartholomew_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Baylor_Texas_UnitedStates.NYT_ConfirmedCases.data,20.0,43.0,0.0
Baylor_Texas_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bay_Florida_UnitedStates.NYT_ConfirmedCases.data,6124.0,6866.0,0.0
Bay_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bayfield_Wisconsin_UnitedStates.NYT_ConfirmedCases.data,125.0,266.0,0.0
Bayfield_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
"BeaverCounty,GarfieldCounty,IronCounty,KaneCounty,Washington_Utah_UnitedStates.NYT_ConfirmedCases.data",0.0,0.0,0.0
"BeaverCounty,GarfieldCounty,IronCounty,KaneCounty,Washington_Utah_UnitedStates.NYT_ConfirmedCases.missing",100,100,100
Beauregard_Louisiana_UnitedStates.NYT_ConfirmedCases.data,1013.0,1069.0,0.0
Beauregard_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
BearLake_Idaho_UnitedStates.NYT_ConfirmedCases.data,47.0,72.0,0.0
BearLake_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Beaufort_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,5692.0,6123.0,0.0
Beaufort_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Beadle_SouthDakota_UnitedStates.NYT_ConfirmedCases.data,815.0,1212.0,0.0
Beadle_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Bay_Michigan_UnitedStates.NYT_ConfirmedCases.data,1027.0,1404.0,0.0
Bay_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Beaufort_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,981.0,1362.0,0.0
Beaufort_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
