fips_code,February,March,April,May,June,July,August,September,October,November
55081.0,0.0,2.0,14.0,17.0,66.0,205.0,282.0,567.0,1238.0,1862.0
55083.0,0.0,1.0,10.0,37.0,59.0,164.0,429.0,966.0,2238.0,2922.0
55085.0,0.0,3.0,6.0,9.0,19.0,81.0,212.0,490.0,1351.0,1874.0
55087.0,0.0,12.0,54.0,227.0,476.0,1061.0,1866.0,4881.0,9750.0,12632.0
55089.0,0.0,43.0,88.0,162.0,229.0,528.0,909.0,1393.0,2492.0,4272.0
55091.0,0.0,0.0,0.0,1.0,1.0,40.0,46.0,68.0,140.0,330.0
55093.0,0.0,7.0,10.0,45.0,68.0,164.0,291.0,450.0,792.0,1718.0
55095.0,0.0,0.0,4.0,19.0,48.0,111.0,171.0,253.0,640.0,1516.0
55097.0,0.0,1.0,5.0,11.0,142.0,337.0,603.0,1512.0,2978.0,4141.0
55099.0,0.0,0.0,1.0,2.0,2.0,19.0,36.0,119.0,408.0,600.0
55101.0,0.0,26.0,355.0,1722.0,2171.0,3095.0,4006.0,4976.0,7299.0,12325.0
55103.0,0.0,2.0,12.0,14.0,15.0,25.0,49.0,147.0,497.0,732.0
55105.0,0.0,16.0,198.0,636.0,864.0,1342.0,1686.0,2619.0,5077.0,7698.0
