fips_code,February,March,April,May,June,July,August,September,October,November
18161.0,0.0,0.0,7.0,2.0,4.0,15.0,35.0,16.0,51.0,86.0
18163.0,0.0,18.0,117.0,139.0,139.0,1208.0,967.0,1318.0,2578.0,1584.0
18165.0,0.0,0.0,7.0,3.0,3.0,17.0,64.0,39.0,167.0,139.0
18167.0,0.0,8.0,56.0,105.0,53.0,202.0,836.0,646.0,1126.0,1554.0
18169.0,0.0,1.0,41.0,36.0,29.0,44.0,58.0,66.0,273.0,501.0
18171.0,0.0,2.0,9.0,1.0,2.0,5.0,19.0,3.0,67.0,66.0
18173.0,0.0,8.0,88.0,70.0,30.0,275.0,297.0,660.0,472.0,805.0
18175.0,0.0,6.0,37.0,9.0,12.0,40.0,121.0,45.0,156.0,126.0
18177.0,0.0,2.0,32.0,48.0,45.0,177.0,246.0,231.0,928.0,648.0
18179.0,0.0,2.0,3.0,27.0,35.0,57.0,87.0,62.0,147.0,480.0
18181.0,0.0,2.0,45.0,188.0,22.0,84.0,99.0,51.0,195.0,268.0
18183.0,0.0,2.0,17.0,23.0,37.0,64.0,70.0,82.0,257.0,426.0
19001.0,0.0,1.0,0.0,8.0,6.0,5.0,29.0,27.0,144.0,122.0
19003.0,0.0,0.0,0.0,7.0,1.0,7.0,7.0,16.0,48.0,48.0
19005.0,0.0,7.0,82.0,32.0,3.0,24.0,30.0,87.0,163.0,181.0
19007.0,0.0,1.0,1.0,13.0,5.0,20.0,45.0,59.0,114.0,347.0
19009.0,0.0,1.0,0.0,11.0,5.0,11.0,11.0,52.0,60.0,101.0
19011.0,0.0,7.0,24.0,12.0,15.0,72.0,73.0,141.0,185.0,814.0
19013.0,0.0,7.0,1133.0,606.0,349.0,875.0,830.0,759.0,1595.0,2620.0
19015.0,0.0,1.0,11.0,50.0,74.0,90.0,119.0,187.0,249.0,283.0
19017.0,0.0,0.0,51.0,19.0,17.0,94.0,149.0,183.0,254.0,738.0
19019.0,0.0,2.0,15.0,16.0,12.0,60.0,70.0,124.0,216.0,366.0
19021.0,0.0,0.0,4.0,779.0,912.0,87.0,44.0,200.0,323.0,360.0
19023.0,0.0,1.0,8.0,7.0,29.0,66.0,97.0,72.0,148.0,347.0
19025.0,0.0,0.0,0.0,2.0,42.0,37.0,48.0,66.0,150.0,527.0
19027.0,0.0,1.0,1.0,8.0,72.0,93.0,215.0,321.0,532.0,469.0
19029.0,0.0,0.0,1.0,11.0,5.0,25.0,70.0,69.0,289.0,179.0
19031.0,0.0,9.0,20.0,18.0,28.0,42.0,37.0,102.0,188.0,393.0
19033.0,0.0,7.0,7.0,15.0,70.0,473.0,258.0,246.0,513.0,1076.0
19035.0,0.0,0.0,2.0,26.0,44.0,25.0,43.0,129.0,173.0,196.0
19037.0,0.0,0.0,5.0,5.0,15.0,23.0,62.0,164.0,115.0,229.0
19039.0,0.0,0.0,2.0,53.0,70.0,49.0,67.0,29.0,49.0,106.0
19041.0,0.0,0.0,4.0,12.0,105.0,47.0,68.0,114.0,218.0,312.0
19043.0,0.0,1.0,13.0,21.0,4.0,55.0,86.0,91.0,255.0,303.0
19045.0,0.0,5.0,43.0,13.0,34.0,193.0,547.0,317.0,464.0,965.0
19047.0,0.0,1.0,20.0,495.0,150.0,41.0,129.0,281.0,283.0,194.0
19049.0,0.0,25.0,293.0,586.0,271.0,564.0,640.0,481.0,845.0,1506.0
19051.0,0.0,0.0,1.0,21.0,15.0,12.0,34.0,47.0,32.0,153.0
